Deck,Commander,Owner,Ranking,Games Played,Games Won,Win Rate,Average Position,Image
Chop Suey,"Shilgengar, Sire of Famine",Hendrik,1079.000575,3,2,0.6666666667,1.333333333,https://cards.scryfall.io/art_crop/front/9/e/9e6aba35-bee5-4058-a2df-d73506d225c2.jpg?1717012085
Ziatora Aggro,"Ziatora, the Incinerator",Yannik,1018.710815,1,0,0,2,https://cards.scryfall.io/art_crop/front/b/a/ba4fa4c8-f09f-4d97-a7d1-1b93caf7d4f9.jpg?1664413989
Ratadrabik Legends,Ratadrabik of Urborg,Jona,971.8647013,5,1,0.2,2.4,https://cards.scryfall.io/art_crop/front/9/3/9315812d-03e8-4eb4-a693-e7adf281f7fb.jpg?1673308046
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Other,None,Other,1000,22,5,0.2272727273,2.272727273,
